נבדק ואושר,סוג נכס,מהות עסקה,מקור,"ת""ח",חלקה,גוש,תאריך עסקה,עיר,רחוב,מספר,כניסה,דירה,מחיר מוצהר,מחיר מוערך,שטח ברוטו,שטח נטו,מגרש,חדרים,מחיר למר,מחיר לחדר,גלריה,מרפסת,קומה,קומות,דירות בבנין,מעלית,חניה,מחסן,גג,חצר,שנת בניה,זכויות בניה,אחוזי בניה,תפקוד הבנין,מהות הזכות,תפקוד היחידה  ,שומה חלקים,,
לא,דירת מגורים,דירה בבית קומות,רשות,0,9,6882,29/12/2020,תל אביב -יפו,הצנחנים,2,,45,3818890,3818890,120,120,0,5,31824,763778,0,,9,25,122,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,9,9,6882,29/12/2020,תל אביב -יפו,הצנחנים,1,,9,3200000,3200000,109,109,0,4,29358,800000,0,,2,25,122,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,10,11,9001,27/12/2020,תל אביב -יפו,טולוז,25,,4,4700000,4700000,197,197,0,3,23858,1566667,0,,1,3,16,,0,0,0,45,2017,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,6,179,7050,24/12/2020,תל אביב -יפו,קהלת קנדה,36,,6,718738,718738,67,67,0,3,10727,239579,0,,3,4,40,,0,0,0,0,1960,,,מגורים,בעלות כפופה לחכירה,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,11,199,7050,24/12/2020,תל אביב -יפו,קהלת קנדה,34,,11,108333,108333,69,69,0,3,1570,36111,0,,3,3,12,,0,0,0,0,1950,,,מגורים,בעלות כפופה לחכירה,דירה בבית קומות,0.08,,
לא,דירת מגורים,דירה בבית קומות,רשות,29,222,7050,24/12/2020,תל אביב -יפו,מחרוזת,18,,1,1280000,1280000,50,50,0,3,25600,426667,0,,1,4,33,,0,0,0,0,1950,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,91,291,6135,24/12/2020,תל אביב -יפו,הרטוב,21,,91,1590000,1590000,59,56,0,3,28393,530000,0,,1,4,16,,0,0,0,0,1970,,,מגורים,בעלות כפופה לחכירה,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,8,134,6904,24/12/2020,תל אביב -יפו,מלצט,49,,4,1850000,1850000,78,78,0,3,23718,616667,0,,4,4,7,,0,0,24,0,1960,,,מגורים,בעלות כפופה לחכירה,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,37,8,7259,23/12/2020,תל אביב -יפו,תל אביב -י - ללא רחו,50,,37,8205000,8205000,160,160,0,5,51281,1641000,0,,5,8,20,,0,0,0,0,2022,,,מגורים,בעלות כפופה לחכירה,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,1,9,6882,20/12/2020,תל אביב -יפו,הצנחנים,1,,1,1950000,1950000,55,55,0,2,35455,975000,0,,1,8,31,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,11,9,6882,20/12/2020,תל אביב -יפו,הצנחנים,1,,11,2413000,2413000,73,73,0,3,33055,804333,0,,2,25,122,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,0,3,6979,20/12/2020,תל אביב -יפו,סמ כביר,3,,1,880000,880000,24,30,0,2,29333,440000,0,,1,2,4,,0,0,0,0,1950,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,0,8,7460,20/12/2020,תל אביב -יפו,בית השואבה,8,,1,3405896,2905983,59,59,0,3,49254,968661,0,,4,5,20,,1,0,0,0,2019,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,9,197,7047,17/12/2020,תל אביב -יפו,שד הבעשט,21,,2,1570000,1570000,54,47,0,2,33404,785000,0,,2,4,8,,0,0,0,0,1950,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,28,9,6882,16/12/2020,תל אביב -יפו,הצנחנים,1,,28,2444000,2444000,67,67,0,3,36478,814667,0,,7,8,30,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,0,9,6882,16/12/2020,תל אביב -יפו,הצנחנים,1,,87,2540940,2540940,70,70,0,3,36299,846980,0,,17,25,125,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,0,26,6943,16/12/2020,תל אביב -יפו,יסוד המעלה,31,,12,1850000,1850000,44,44,0,2,42045,925000,0,,3,6,22,,1,0,0,0,2018,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,4,43,7061,16/12/2020,תל אביב -יפו,דרך שלמה,82,,1,1350000,1350000,46,46,0,2,29348,675000,0,,1,2,4,,0,0,0,0,1960,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,13,9,6882,15/12/2020,תל אביב -יפו,הצנחנים,1,,13,2406000,2406000,67,67,0,3,35910,802000,0,,3,8,30,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,17,9,6882,15/12/2020,תל אביב -יפו,הצנחנים,1,,17,2425400,2425400,67,67,0,3,36200,808467,0,,4,8,30,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,25,9,6882,14/12/2020,תל אביב -יפו,הצנחנים,1,,25,2457240,2457240,67,67,0,3,36675,819080,0,,6,8,31,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
