OBJECTID,POP_2018,USETYPE,USETYPECOD,CITY,MAINUSE,TAZAREA,SUMACCIDEN,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,Shape_Length,Shape_Area,CITYCODE,ACC_INDEX,YEARMONTH
5710,8885,מגורים,1,תל אביב -יפו,מגורים,403243,135,2,18,131,50,4,121,21,151,216,56,4,15,94,216,2743.538665,403243.0429,5000,334.7857247,202012
5711,6941,מגורים,1,נתניה,מגורים,809471,9,0,3,7,6,0,8,1,10,14,3,0,0,9,14,4704.134717,809470.9885,7400,11.11837237,202012
5712,2522,מגורים,1,חורפיש,מגורים,1098751,4,0,0,10,0,7,3,0,10,7,0,0,0,6,7,7603.129898,1098751.368,496,3.640497256,202012
5713,0,עתידי/לא ידוע,5,א ראם,לא ידוע,15181793,18,2,8,34,0,12,31,1,44,36,4,0,0,20,36,24482.01622,15181792.89,0,1.185630709,202012
5714,1397,מגורים,1,יהוד,מגורים,252279,6,0,1,5,1,1,2,3,6,9,1,0,0,8,9,2416.348308,252279.0423,0,23.78319242,202012
5715,1350,מגורים,1,מצליח,מגורים,3738241,38,3,6,71,1,18,55,7,80,81,10,3,0,62,81,10082.54455,3738240.524,0,10.16520872,202012
5716,8725,מגורים,1,מעלה שומרון קרני שומרון,מגורים,15002400,13,1,1,22,2,7,16,1,24,24,1,1,0,17,24,18055.93973,15002400.4,0,0.866528022,202012
5717,0,פנאי/טבע/ספורט,3,מ.א. בני שמעון ומ.א. מרחבים,שטח פתוח,72355346,1,0,0,2,0,0,2,0,2,2,0,0,0,2,2,41747.23591,72355346.26,0,0.013820679,202012
5718,6320,מגורים,1,ראשון לציון,מגורים,257510,3,0,0,5,0,0,1,4,5,7,0,0,0,6,7,2084.826831,257510.1301,8300,11.65003301,202012
5719,3607,מגורים,1,קשת יונתן אניעם אורטל אלוני הבשן קדמת צבי עין זיוון,מגורים,300587304,30,1,4,51,2,9,44,3,56,45,2,1,1,27,45,77941.08771,300587303.6,0,0.099804615,202012
5720,3132,מגורים,1,ירושלים,מגורים,350074,5,0,1,6,5,3,3,1,7,6,1,1,0,4,6,2548.215813,350074.4374,3000,14.28269452,202012
5721,0,עתידי/לא ידוע,5,קריית ביאליק,מיועד למגורים,637651,1,0,0,2,0,1,1,0,2,2,0,0,0,2,2,3281.670802,637651.3755,9500,1.56825599,202012
5722,0,מוסדי/ציבורי,2,קרית אונו,בסיס צבאי,516214,2,0,0,5,0,0,4,1,5,4,0,0,0,4,4,2929.436178,516213.998,2620,3.874362183,202012
5723,0,תעשיה/מסחר/מתקנים,4,"תש""ן מסוף האשל",תשתיות,11381553,3,0,1,6,0,3,4,0,7,5,1,0,0,4,5,16053.57503,11381553.49,0,0.263584416,202012
5724,4601,מגורים,1,כפר סבא,מגורים,241969,16,1,4,14,7,1,11,7,19,25,3,0,1,15,25,2231.196761,241969.254,6900,66.12417293,202012
5725,3133,מגורים,1,ירושלים,מגורים,367468,5,0,1,6,2,1,4,2,7,9,1,0,0,8,9,3115.403421,367468.1048,3000,13.60662697,202012
5726,1762,מגורים,1,אור יהודה,מגורים,464392,13,2,0,18,8,6,10,3,20,20,3,0,0,10,20,3142.414328,464391.659,2400,27.99359162,202012
