נבדק ואושר,סוג נכס,מהות עסקה,מקור,"ת""ח",חלקה,גוש,תאריך עסקה,עיר,רחוב,מספר,כניסה,דירה,מחיר מוצהר,מחיר מוערך,שטח ברוטו,שטח נטו,מגרש,חדרים,מחיר למר,מחיר לחדר,גלריה,מרפסת,קומה,קומות,דירות בבנין,מעלית,חניה,מחסן,גג,חצר,שנת בניה,זכויות בניה,אחוזי בניה,תפקוד הבנין,מהות הזכות,תפקוד היחידה  ,שומה חלקים
לא,דירת מגורים,דירה בבית קומות,רשות,19,9,6882,14/01/2021,תל אביב -יפו,הצנחנים,1,,19,"3,349,000","3,349,000",109,109,0,4,"30,725","837,250",0,,4,25,122,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,5,156,7069,12/01/2021,תל אביב -יפו,קהלת ניו יורק,48,,5,"1,690,000","1,690,000",68,66,0,3,"25,606","563,333",0,,2,5,10,,0,0,0,0,2008,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,18,54,7075,12/01/2021,תל אביב -יפו,סהרון,28,,18,"750,000","750,000",59,62,0,3,"12,097","250,000",0,,1,4,80,,0,0,0,0,1970,,,מגורים,בעלות,דירה בבית קומות,0.5
לא,דירת מגורים,דירה בבית קומות,רשות,11,61,6882,07/01/2021,תל אביב -יפו,הצנחנים,22,,11,"1,775,000","1,775,000",80,80,0,4,"22,188","443,750",0,,3,5,20,,0,0,0,0,1982,,,מגורים,בעלות כפופה לחכירה,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,0,46,6135,07/01/2021,תל אביב -יפו,שמחה,22,,1,"1,400,000","1,400,000",54,56,0,3,"25,000","466,667",0,,1,2,3,,0,0,0,0,1950,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,4,302,6135,06/01/2021,תל אביב -יפו,קריתי,8,,4,"285,714","285,714",67,67,0,2,"4,264","142,857",0,,2,2,4,,0,0,0,0,1970,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,8,177,7050,06/01/2021,תל אביב -יפו,קהלת קנדה,39,,8,"1,200,000","1,200,000",42,42,0,2,"28,571","600,000",0,,1,4,16,,0,0,0,0,1990,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,102,9,6882,04/01/2021,תל אביב -יפו,הצנחנים,1,,102,"2,580,000","2,580,000",70,70,0,3,"36,857","860,000",0,,20,29,125,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,9,147,7047,03/01/2021,תל אביב -יפו,שד ירושלים,132,,9,"1,720,000","1,720,000",47,47,0,3,"36,596","573,333",0,,2,4,16,,0,0,0,0,1970,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,0,310,6135,01/01/2021,תל אביב -יפו,דרך משה דיין,27,,7,"1,465,000","1,465,000",68,1,0,3,"1,465,000","488,333",0,,4,4,16,,0,0,0,0,1970,,,מגורים,בעלות כפופה לחכירה,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,22,9,6882,31/12/2020,תל אביב -יפו,הצנחנים,1,,22,"2,600,000","2,600,000",67,67,0,3,"38,806","866,667",0,,6,8,30,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,28,9,6882,31/12/2020,תל אביב -יפו,הצנחנים,1,,28,"2,894,000","2,894,000",83,83,0,3,"34,867","964,667",0,,7,8,31,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,38,9,6882,31/12/2020,תל אביב -יפו,הצנחנים,1,,38,"3,248,000","3,248,000",109,109,0,4,"29,798","812,000",0,,7,25,125,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,33,9,6882,31/12/2020,תל אביב -יפו,הצנחנים,1,,33,"3,217,000","3,217,000",109,109,0,4,"29,514","804,250",0,,6,25,125,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,52,8,7259,31/12/2020,תל אביב -יפו,תל אביב -י - ללא רחו,50,,52,"10,550,000","10,550,000",194,194,0,5,"54,381","2,110,000",0,,8,8,20,,0,0,0,0,2022,,,מגורים,בעלות כפופה לחכירה,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,0,42,6919,31/12/2020,תל אביב -יפו,סמ שפר,7,,1,"2,780,000","2,780,000",55,55,0,2,"50,545","1,390,000",0,,1,3,16,,0,0,0,0,2017,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,23,9,6882,30/12/2020,תל אביב -יפו,הצנחנים,1,,23,"3,131,000","3,131,000",109,109,0,4,"28,725","782,750",0,,4,25,125,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
